Participant,Version,Date,Session,OpenSignalsData,Complete,Status,Channels,Overflow,Duration,PsychoPy,PsychoPyComplete,Errors
129G,1.1,2025-5-30,,1.0,1.0,94.0034762456547,2.2328799478118087,1.0,16435.898,1.0,0.0,Missing Signals: blankScreen_04 - IndexError('list index out of range')
129H,1.1,2025-6-6,,1.0,1.0,98.11749432002595,2.2108161869747684,0.0,7304.512999999999,1.0,0.0,Failed Saliva Rename: ./Analysis/Raw/Participants/129H/129H_EVM_2025-06-06_13h04.08.393.csv - KeyError('Task')
129I,1.1,2025-6-9,,1.0,1.0,100.0,3.0,0.0,8853.012999999999,1.0,0.0,Failed Saliva Rename: ./Analysis/Raw/Participants/129I/129I_EVM_2025-06-09_13h11.05.798_9.csv - IndexError('index 1 is out of bounds for axis 0 with size 1');DNF: BP_00 in Version 2025-06-09_13h11.05.798
132G,1.1,2025-5-28,,1.0,1.0,98.80336351875808,2.199660918636736,0.0,8116.633999999998,1.0,0.0,
132H,1.1,2025-6-4,,1.0,1.0,98.63724853990917,2.198320999645369,0.0,8335.434000000001,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
132I,1.1,2025-6-11,,1.0,1.0,100.0,3.0,0.0,9495.377999999995,1.0,0.0,
134G,1.1,2025-5-30,,1.0,1.0,99.46957878315132,2.1798462248617447,1.0,10437.576,1.0,0.0,
134H,1.1,2025-6-3,,1.0,1.0,99.85920450545582,2.16911441731462,0.0,9978.479,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
134I,1.1,2025-6-10,,1.0,1.0,100.0,3.0,1.0,15375.611000000004,1.0,0.0,
135G,1.1,2025-5-30,,1.0,1.0,97.80394653087204,2.24697606178236,0.0,8827.89,1.0,0.0,
135H,1.1,2025-6-5,,1.0,1.0,97.59903961584634,2.2110214255098994,0.0,7892.879000000001,1.0,0.0,
135I,1.1,2025-6-12,,1.0,1.0,100.0,3.0,0.0,8741.440000000002,1.0,0.0,
139G,1.1,2025-6-17,,1.0,1.0,97.91960507757403,2.1985788055331126,0.0,8102.056000000004,1.0,0.0,
139H,1.1,2025-6-23,,1.0,1.0,97.29023832843616,2.199911385171989,0.0,8181.473000000005,1.0,0.0,DNF: blankScreen_00 in Version 2025-06-23_14h30.16.072;DNF: blankScreen_00 in Version 2025-06-23_14h30.51.397;DNF: blankScreen_01 in Version 2025-06-23_14h30.16.072;DNF: blankScreen_01 in Version 2025-06-23_14h30.51.397;DNF: blankScreen_02 in Version 2025-06-23_14h30.16.072;DNF: blankScreen_02 in Version 2025-06-23_14h30.51.397;DNF: blankScreen_03 in Version 2025-06-23_14h30.16.072;DNF: blankScreen_03 in Version 2025-06-23_14h30.51.397;DNF: blankScreen_04 in Version 2025-06-23_12h32.04.165
139I,1.1,2025-6-27,,1.0,1.0,100.0,3.0,1.0,10785.288999999995,1.0,0.0,Failed Saliva Rename: ./Analysis/Raw/Participants/139I/139I_EVM_2025-06-27_11h55.53.830.csv - KeyError('Task')
141G,1.1,2025-6-13,,1.0,1.0,97.85320568610386,2.1965013396530564,0.0,9792.832000000002,1.0,0.0,Missing Signals: Saliva_00 - IndexError('list index out of range')
141H,1.1,2025-6-18,,1.0,1.0,98.95645915797049,2.2157891512670096,0.0,9174.120000000004,1.0,0.0,
141I,0.0,,,,,,,,,,,
142G,1.1,2025-6-18,,1.0,1.0,97.70323360531884,2.1753528463229257,0.0,9058.544999999998,1.0,0.0,DNF: blankScreen_00 in Version 2025-06-18_10h17.25.182;DNF: blankScreen_01 in Version 2025-06-18_10h17.25.182;DNF: blankScreen_02 in Version 2025-06-18_10h17.25.182;DNF: blankScreen_03 in Version 2025-06-18_10h17.25.182
142H,1.1,2025-6-25,,1.0,0.0,68.81930854533594,2.0,0.0,6741.733,1.0,0.0,Missing Signals: blankScreen_04 - IndexError('list index out of range');Missing Signals: BP_04 - IndexError('list index out of range');Missing Signals: Exercise - IndexError('list index out of range');Missing Signals: BP_05 - IndexError('list index out of range');Missing Signals: blankScreen_05 - IndexError('list index out of range');Missing Signals: BP_06 - IndexError('list index out of range')
142I,1.1,2025-7-2,,1.0,1.0,100.0,3.0,0.0,9938.797,1.0,0.0,
