EDA_CH1,ECG_CH2,Freq,Channels,File,t,TEMP_CH1,EDA_CH3,Task
0.0,36464,1000,2,0,35460.0,,,BP_02
0.0,36620,1000,2,0,35520.0,,,
0.0,31512,1000,2,0,35580.0,,,
0.0,33720,1000,2,0,35640.0,,,
0.0,32996,1000,2,0,35700.0,,,
0.0,33100,1000,2,0,35760.0,,,
0.0,33608,1000,2,0,35820.0,,,
0.0,33228,1000,2,0,35880.0,,,
0.0,33796,1000,2,0,35940.0,,,
0.0,32680,1000,2,0,36000.0,,,
0.0,30272,1000,2,0,36060.0,,,
0.0,31686,1000,2,0,36120.0,,,
0.0,34884,1000,2,0,36180.0,,,
0.0,31708,1000,2,0,36240.0,,,
0.0,33120,1000,2,0,36300.0,,,
0.0,29756,1000,2,0,36360.0,,,
0.0,39652,1000,2,0,36420.0,,,
0.0,28638,1000,2,0,36480.0,,,
0.0,30060,1000,2,0,36540.0,,,
0.0,37488,1000,2,0,36600.0,,,
0.0,32112,1000,2,0,36660.0,,,
0.0,32936,1000,2,0,36720.0,,,
0.0,28916,1000,2,0,36780.0,,,
0.0,30268,1000,2,0,36840.0,,,
0.0,32864,1000,2,0,36900.0,,,
0.0,33452,1000,2,0,36960.0,,,
0.0,33000,1000,2,0,37020.0,,,
0.0,33024,1000,2,0,37080.0,,,
0.0,33774,1000,2,0,37140.0,,,
0.0,34196,1000,2,0,37200.0,,,blankScreen_03
0.0,31492,1000,2,0,37260.0,,,blankScreen_03
0.0,27552,1000,2,0,37320.0,,,blankScreen_03
0.0,33204,1000,2,0,37380.0,,,BP_03
0.0,32666,1000,2,0,37440.0,,,
0.0,33384,1000,2,0,37500.0,,,
0.0,27842,1000,2,0,37560.0,,,
0.0,33256,1000,2,0,37620.0,,,
,33392,1000,3,1,37920.0,29338.0,914.0,blankScreen_04
,32028,1000,3,1,37980.0,28906.0,805.0,blankScreen_04
,33764,1000,3,1,38040.0,28680.0,940.0,BP_04
,33028,1000,3,1,38100.0,28536.0,1058.0,BP_04
,32546,1000,3,1,38160.0,28484.0,892.0,
,33050,1000,3,1,38220.0,28476.0,924.0,
,32484,1000,3,1,38280.0,28446.0,1050.0,
,33964,1000,3,1,38340.0,28432.0,781.0,
,29372,1000,3,1,38400.0,30814.0,1240.0,Exercise
,32548,1000,3,1,38460.0,32292.0,1616.0,Exercise
,38181,1000,3,1,38520.0,32916.0,1770.0,Exercise
,31204,1000,3,1,38580.0,32772.0,1745.0,BP_05
,31748,1000,3,1,38640.0,31516.0,1323.0,BP_05
,32822,1000,3,1,38700.0,31300.0,1826.0,BP_05
,32024,1000,3,1,38760.0,30404.0,1534.0,blankScreen_05
,32388,1000,3,1,38820.0,29918.0,1153.0,blankScreen_05
,28632,1000,3,1,38880.0,29448.0,1615.0,blankScreen_05
,32720,1000,3,1,38940.0,28996.0,1283.0,
,32980,1000,3,1,39000.0,28740.0,1335.0,BP_06
,26710,1000,3,1,39060.0,28529.0,1123.0,
,31316,1000,3,1,39120.0,28398.0,1241.0,
,33140,1000,3,1,39180.0,28344.0,1108.0,
,27588,1000,3,1,39240.0,28324.0,1070.0,
,31876,1000,3,1,39300.0,28334.0,1094.0,
,29440,1000,3,1,39360.0,28340.0,1160.0,
